age,sex,region,EURef2016,education_age,work_stat,work_organisation,work_type,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
58,"Woman","South East","Remain","17-18","Working part time (8-29 hours a week)","Other public sector employer (e.g. Central Government)","Other","Very negative effect","Very negative effect","Very badly",1,"a Remainer"
53,"Man","London","Leave","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Neither positive nor negative","Fairly well",3,"a Leaver"
56,"Woman","East Midlands","Leave","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Very positive effect","Very well",6,"a Leaver"
62,"Woman","East of England","Remain","17-18","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Don't know",0,"a Remainer"
27,"Man","East of England","Remain","20+","Working part time (Less than 8 hours a week)","Charity/voluntary sector","Other","Very negative effect","Very negative effect","Fairly badly",0,"a Remainer"
69,"Man","South West","Leave","15 or under","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Neither positive nor negative","Very badly",5,"a Leaver"
60,"Man","Yorkshire and the Humber","Leave","20+","Retired","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Neither positive nor negative","Don't know",5,"a Leaver"
52,"Woman","Scotland","Leave","20+","Working full time (30 or more hours per week)","Self-employed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
56,"Woman","London","Remain","20+","Not working","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
81,"Man","North West","Leave","15 or under","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Very positive effect","Very positive effect","Very well",10,"a Leaver"
60,"Man","West Midlands","Remain","17-18","Other","Other","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Neither positive nor negative","Fairly well",6,"Neither a Leaver nor a Remainer"
56,"Woman","West Midlands","Leave","17-18","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Neither positive nor negative","Neither positive nor negative","Don't know",4,"a Leaver"
48,"Man","London","Remain","15 or under","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Very positive effect","Don't know",5,"a Remainer"
61,"Woman","West Midlands","Leave","20+","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",5,"Neither a Leaver nor a Remainer"
63,"Man","Yorkshire and the Humber","Leave","15 or under","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Neither positive nor negative","Neither positive nor negative","Fairly well",8,"a Leaver"
58,"Woman","South West","Leave","16","Working full time (30 or more hours per week)","Self-employed","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Very positive effect","Fairly badly",10,"a Leaver"
31,"Woman","South West","Cannot remember","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don't know","Don't know","Fairly badly",3,"Neither a Leaver nor a Remainer"
31,"Woman","North West","Leave","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",3,"Neither a Leaver nor a Remainer"
59,"Man","North West","Remain","16","Not working","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
36,"Woman","Yorkshire and the Humber","Remain","20+","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Fairly well",2,"a Remainer"
28,"Man","Wales","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
62,"Woman","Wales","Remain","16","Retired","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Fairly well",6,"a Remainer"
57,"Man","London","Leave","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Neither positive nor negative","Don't know","Don't know",6,"Don’t know"
47,"Woman","Scotland","Leave","20+","Retired","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Somewhat negative effect","Very badly",3,"Neither a Leaver nor a Remainer"
66,"Man","East Midlands","Leave","16","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Other","Very negative effect","Somewhat negative effect","Fairly badly",10,"a Remainer"
76,"Man","South East","Remain","15 or under","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Neither positive nor negative","Neither positive nor negative","Very well",5,"Neither a Leaver nor a Remainer"
57,"Woman","Wales","Remain","20+","Working full time (30 or more hours per week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
82,"Man","East Midlands","Leave","16","Retired","Self-employed","Other","Very positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
56,"Man","East of England","Leave","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
70,"Man","North West","Leave","15 or under","Retired","Self-employed","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Neither positive nor negative","Don't know",10,"a Leaver"
68,"Woman","North West","Leave","20+","Retired","Self-employed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Don't know",10,"a Leaver"
51,"Man","East of England","Leave","17-18","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Don't know",4,"a Leaver"
44,"Woman","East of England","Leave","20+","Working full time (30 or more hours per week)","Charity/voluntary sector","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Very positive effect","Don't know",8,"Neither a Leaver nor a Remainer"
63,"Man","London","Remain","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Neither positive nor negative","Very badly",10,"a Remainer"
73,"Man","Yorkshire and the Humber","Remain","16","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Very well",5,"a Remainer"
39,"Man","Scotland","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Very negative effect","Very badly",1,"Neither a Leaver nor a Remainer"
60,"Woman","South West","Leave","17-18","Retired","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Neither positive nor negative","Fairly well",9,"a Leaver"
33,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Don't know",5,"Neither a Leaver nor a Remainer"
49,"Man","North West","Leave","16","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Somewhat positive effect","Neither positive nor negative","Fairly well",9,"a Leaver"
29,"Man","South West","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Somewhat positive effect","Fairly badly",0,"Don’t know"
25,"Woman","London","Remain","Still at school/Full time student","Working full time (30 or more hours per week)","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Don't know",3,"a Remainer"
67,"Man","Yorkshire and the Humber","Remain","20+","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Very badly",5,"Neither a Leaver nor a Remainer"
72,"Woman","West Midlands","Remain","17-18","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
28,"Man","London","Did not vote","20+","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Somewhat negative effect","Fairly badly",4,"Neither a Leaver nor a Remainer"
51,"Woman","Yorkshire and the Humber","Leave","20+","Working full time (30 or more hours per week)","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Very well",5,"a Leaver"
40,"Woman","North West","Cannot remember","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Fairly badly",9,"Neither a Leaver nor a Remainer"
66,"Man","Yorkshire and the Humber","Remain","20+","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Don't know","Very badly",2,"a Remainer"
79,"Man","South East","Leave","15 or under","Retired","Other","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very positive effect","Very positive effect","Don't know",10,"Neither a Leaver nor a Remainer"
29,"Woman","South East","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Fairly well",7,"a Remainer"
50,"Woman","Yorkshire and the Humber","Did not vote","16","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Don't know",5,"Don’t know"
49,"Man","Scotland","Leave","17-18","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
31,"Man","East of England","Leave","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly well",6,"a Leaver"
58,"Man","South West","Leave","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Somewhat positive effect","Don't know",5,"a Leaver"
35,"Woman","South East","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
76,"Man","Wales","Remain","16","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
33,"Man","Scotland","Remain","20+","Working part time (8-29 hours a week)","Self-employed","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Don't know","Very badly",2,"a Remainer"
36,"Man","South West","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
68,"Woman","South West","Remain","15 or under","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Don't know",6,"a Remainer"
33,"Man","West Midlands","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Other","Somewhat negative effect","Neither positive nor negative","Don't know",5,"a Remainer"
64,"Man","South East","Remain","20+","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
44,"Man","East Midlands","Remain","15 or under","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
59,"Woman","South East","Remain","20+","Working full time (30 or more hours per week)","Charity/voluntary sector","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Fairly badly",5,"a Remainer"
47,"Man","Scotland","Remain","17-18","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Very badly",2,"a Remainer"
68,"Woman","North West","Leave","17-18","Retired","Skipped","Other","Somewhat positive effect","Somewhat positive effect","Fairly well",9,"a Leaver"
33,"Woman","London","Leave","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very positive effect","Very positive effect","Fairly well",10,"Neither a Leaver nor a Remainer"
34,"Man","South East","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Don't know",5,"a Remainer"
70,"Man","South East","Leave","19","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don't know","Somewhat negative effect","Don't know",8,"a Leaver"
66,"Woman","North East","Leave","15 or under","Retired","Other public sector employer (e.g. Central Government)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Very positive effect","Don't know",10,"a Leaver"
69,"Woman","Wales","Leave","15 or under","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Very well",10,"a Leaver"
33,"Woman","West Midlands","Leave","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Neither positive nor negative","Fairly well",8,"a Leaver"
46,"Man","Yorkshire and the Humber","Remain","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don't know","Somewhat negative effect","Fairly badly",5,"a Remainer"
57,"Woman","North East","Leave","16","Unemployed","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Very well",9,"a Leaver"
57,"Man","South East","Remain","19","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Very negative effect","Somewhat negative effect","Fairly well",5,"a Remainer"
53,"Man","London","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Fairly badly",5,"a Remainer"
25,"Woman","North East","Did not vote","15 or under","Not working","Have never worked","Have never worked","Don't know","Don't know","Don't know",5,"Neither a Leaver nor a Remainer"
39,"Woman","London","Remain","19","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don't know","Don't know","Don't know",0,"Don’t know"
70,"Man","Scotland","Leave","15 or under","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Neither positive nor negative","Fairly well",8,"a Leaver"
21,"Woman","East Midlands","Did not vote","Still at school/Full time student","Working full time (30 or more hours per week)","Other","Other","Don't know","Don't know","Don't know",6,"Neither a Leaver nor a Remainer"
35,"Woman","Scotland","Leave","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Fairly well",1,"a Leaver"
46,"Man","South West","Did not vote","16","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Neither positive nor negative","Neither positive nor negative","Don't know",6,"Neither a Leaver nor a Remainer"
66,"Woman","West Midlands","Leave","16","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Don't know","Don't know",10,"a Leaver"
44,"Woman","Yorkshire and the Humber","Leave","17-18","Working part time (8-29 hours a week)","Self-employed","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
54,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Don't know",5,"Neither a Leaver nor a Remainer"
59,"Woman","North West","Did not vote","16","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Neither positive nor negative","Neither positive nor negative","Very badly",5,"Don’t know"
66,"Man","London","Leave","Still at school/Full time student","Retired","Skipped","Other","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
67,"Woman","South West","Leave","17-18","Retired","Nationalised industry or public corporation (e.g. Post Office)","Other","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
52,"Man","East Midlands","Remain","15 or under","Working full time (30 or more hours per week)","Charity/voluntary sector","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Neither positive nor negative","Fairly well",6,"Neither a Leaver nor a Remainer"
48,"Man","South East","Remain","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Neither positive nor negative","Neither positive nor negative","Fairly well",2,"Neither a Leaver nor a Remainer"
68,"Woman","East of England","Leave","15 or under","Retired","Skipped","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
64,"Man","Scotland","Remain","20+","Retired","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
53,"Man","East of England","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Very well",8,"a Leaver"
36,"Woman","Wales","Did not vote","17-18","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Somewhat positive effect","Don't know",9,"Don’t know"
55,"Woman","North West","Leave","17-18","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Fairly well",7,"Neither a Leaver nor a Remainer"
57,"Woman","Scotland","Remain","17-18","Retired","Other","Other","Don't know","Don't know","Don't know",7,"Neither a Leaver nor a Remainer"
70,"Man","East Midlands","Leave","16","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
33,"Woman","Yorkshire and the Humber","Remain","20+","Unemployed","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
60,"Woman","East Midlands","Leave","19","Working part time (8-29 hours a week)","Self-employed","Other","Very positive effect","Neither positive nor negative","Very well",5,"a Leaver"
64,"Woman","South West","Remain","17-18","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Neither positive nor negative","Neither positive nor negative","Fairly well",10,"a Remainer"
68,"Man","Wales","Leave","16","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Neither positive nor negative","Don't know",10,"Neither a Leaver nor a Remainer"
20,"Woman","West Midlands","Remain","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Somewhat negative effect","Very badly",6,"a Remainer"
59,"Woman","Yorkshire and the Humber","Remain","20+","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
49,"Woman","East of England","Leave","16","Working part time (8-29 hours a week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",9,"a Leaver"
62,"Woman","South East","Leave","17-18","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly badly",6,"Neither a Leaver nor a Remainer"
79,"Woman","Scotland","Leave","20+","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Somewhat positive effect","Fairly well",6,"a Leaver"
35,"Man","London","Did not vote","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Very badly",3,"a Remainer"
45,"Man","West Midlands","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat positive effect","Fairly well",5,"Neither a Leaver nor a Remainer"
39,"Woman","East of England","Leave","17-18","Unemployed","Skipped","Other","Somewhat positive effect","Neither positive nor negative","Don't know",5,"a Leaver"
29,"Man","London","Remain","20+","Working full time (30 or more hours per week)","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Fairly badly",8,"a Remainer"
61,"Woman","North East","Leave","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Fairly badly",5,"a Leaver"
69,"Man","Wales","Leave","15 or under","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Very well",7,"a Leaver"
59,"Woman","East of England","Remain","17-18","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat negative effect","Fairly well",6,"a Leaver"
76,"Man","East of England","Remain","16","Retired","Self-employed","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
70,"Woman","East of England","Leave","16","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Other","Very positive effect","Very positive effect","Very well",3,"a Leaver"
57,"Woman","East of England","Leave","Still at school/Full time student","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Neither positive nor negative","Fairly badly",10,"a Leaver"
71,"Woman","West Midlands","Leave","16","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Fairly well",3,"a Leaver"
49,"Man","Wales","Leave","19","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Somewhat positive effect","Very badly",9,"a Leaver"
56,"Woman","Yorkshire and the Humber","Leave","16","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Neither positive nor negative","Neither positive nor negative","Don't know",3,"a Leaver"
31,"Woman","North East","Leave","16","Working part time (Less than 8 hours a week)","Charity/voluntary sector","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don't know","Don't know","Don't know",0,"Don’t know"
64,"Woman","North West","Leave","20+","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Don't know",5,"Neither a Leaver nor a Remainer"
