age,sex,region,EURef2016,education_level,work_stat,work_type,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
46,"Man","South West","Leave","City & Guilds certificate - advanced","Working full time (30 or more hours per week)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Very positive effect","Very positive effect","Fairly well",8,"a Leaver"
70,"Man","South East","Leave","City & Guilds certificate - advanced","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Neither positive nor negative","Fairly badly",9,"a Leaver"
33,"Woman","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Don't know","Very badly",2,"a Remainer"
56,"Man","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Fairly badly",2,"a Remainer"
42,"Man","South East","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Very badly",0,"Neither a Leaver nor a Remainer"
45,"Man","South West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Very positive effect","Fairly badly",10,"a Leaver"
80,"Woman","South East","Leave","GCE A level or Higher Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",4,"a Leaver"
56,"Man","London","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Very negative effect","Fairly badly",2,"a Remainer"
54,"Woman","North West","Remain","GCE A level or Higher Certificate","Working part time (Less than 8 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
48,"Man","West Midlands","Leave","University diploma","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Somewhat positive effect","Don't know",8,"a Leaver"
49,"Woman","Yorkshire and the Humber","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Not working","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
66,"Woman","South West","Remain","Other technical, professional or higher qualification","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Neither positive nor negative","Fairly badly",10,"a Remainer"
62,"Man","South West","Leave","ONC","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",5,"Neither a Leaver nor a Remainer"
58,"Woman","South East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Don't know",7,"Neither a Leaver nor a Remainer"
41,"Woman","North West","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Don't know",5,"a Remainer"
50,"Man","South West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Unemployed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Very badly",6,"Neither a Leaver nor a Remainer"
48,"Woman","East of England","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
42,"Woman","South East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Fairly badly",2,"a Remainer"
73,"Man","West Midlands","Leave","City & Guilds certificate - advanced","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
71,"Man","Wales","Leave","Other technical, professional or higher qualification","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
69,"Woman","South East","Leave","Other technical, professional or higher qualification","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Neither positive nor negative","Very well",10,"a Leaver"
42,"Woman","East of England","Remain","GCE A level or Higher Certificate","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don't know","Don't know","Don't know",5,"a Remainer"
42,"Woman","West Midlands","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",6,"a Leaver"
68,"Man","South West","Leave","No formal qualifications","Retired","Other","Very positive effect","Neither positive nor negative","Fairly well",9,"a Leaver"
63,"Woman","South West","Leave","No formal qualifications","Retired","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Neither positive nor negative","Fairly well",10,"a Leaver"
66,"Woman","Wales","Remain","Other technical, professional or higher qualification","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
61,"Woman","Scotland","Leave","Clerical and commercial","Retired","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Neither positive nor negative","Don't know",6,"a Leaver"
35,"Woman","North West","Did not vote","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Unemployed","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Somewhat negative effect","Fairly badly",3,"a Remainer"
70,"Woman","South West","Leave","GCE A level or Higher Certificate","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Neither positive nor negative","Fairly well",8,"Neither a Leaver nor a Remainer"
64,"Man","Scotland","Leave","Other technical, professional or higher qualification","Retired","Other","Very negative effect","Neither positive nor negative","Very badly",0,"Neither a Leaver nor a Remainer"
36,"Man","London","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
46,"Man","Wales","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Somewhat negative effect","Fairly badly",2,"Neither a Leaver nor a Remainer"
25,"Man","East of England","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Don't know",2,"a Remainer"
75,"Man","South East","Remain","No formal qualifications","Retired","Other","Very negative effect","Don't know","Very badly",5,"a Remainer"
70,"Man","East Midlands","Remain","GCE A level or Higher Certificate","Retired","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Somewhat positive effect","Don't know",5,"Neither a Leaver nor a Remainer"
70,"Woman","South East","Remain","Teaching qualification (not degree)","Working part time (Less than 8 hours a week)","Other","Very negative effect","Very negative effect","Fairly badly",0,"a Remainer"
62,"Man","South West","Leave","Teaching qualification (not degree)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Somewhat positive effect","Very well",1,"a Leaver"
43,"Woman","East of England","Leave","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Very badly",8,"a Leaver"
71,"Woman","Scotland","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",2,"a Remainer"
54,"Woman","Wales","Remain","Prefer not to say","Working part time (8-29 hours a week)","Other","Somewhat negative effect","Very negative effect","Don't know",1,"a Remainer"
50,"Man","North West","Leave","No formal qualifications","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Neither positive nor negative","Fairly badly",5,"a Leaver"
60,"Woman","East Midlands","Remain","City & Guilds certificate - advanced","Not working","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
66,"Man","Scotland","Leave","Scottish Higher Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"Neither a Leaver nor a Remainer"
27,"Woman","West Midlands","Did not vote","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Neither positive nor negative","Fairly badly",2,"Neither a Leaver nor a Remainer"
80,"Woman","Wales","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Don't know","Don't know",7,"a Leaver"
38,"Man","Scotland","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Fairly well",9,"a Leaver"
74,"Man","Wales","Remain","No formal qualifications","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Neither positive nor negative","Don't know",0,"a Remainer"
46,"Woman","South East","Leave","University diploma","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Somewhat positive effect","Fairly badly",4,"a Leaver"
46,"Man","West Midlands","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Other","Somewhat negative effect","Neither positive nor negative","Fairly badly",1,"Neither a Leaver nor a Remainer"
73,"Man","East of England","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Neither positive nor negative","Very badly",0,"a Remainer"
72,"Woman","West Midlands","Remain","Clerical and commercial","Retired","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
55,"Man","South East","Remain","Other technical, professional or higher qualification","Not working","Have never worked","Somewhat negative effect","Somewhat negative effect","Don't know",6,"a Remainer"
71,"Woman","East Midlands","Remain","University diploma","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Don't know",2,"Neither a Leaver nor a Remainer"
79,"Man","North West","Leave","Other technical, professional or higher qualification","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",5,"a Leaver"
57,"Woman","Scotland","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Don't know","Very badly",7,"a Remainer"
72,"Woman","South East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly well",9,"a Leaver"
64,"Man","South West","Remain","City & Guilds certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Don't know",5,"Neither a Leaver nor a Remainer"
61,"Man","South East","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
72,"Woman","West Midlands","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Don't know",10,"a Leaver"
44,"Man","North West","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
68,"Man","Scotland","Leave","Scottish Higher Certificate","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Very well",8,"a Leaver"
66,"Man","North West","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Other","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
78,"Woman","South East","Remain","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Very negative effect","Fairly badly",7,"a Remainer"
64,"Man","East of England","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Don't know",5,"a Remainer"
42,"Man","South East","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Somewhat positive effect","Very well",7,"a Leaver"
66,"Woman","North West","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
69,"Woman","East of England","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Don't know","Fairly well",7,"a Leaver"
47,"Woman","West Midlands","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very positive effect","Very positive effect","Fairly well",9,"a Leaver"
46,"Woman","North East","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
35,"Woman","Wales","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Fairly badly",9,"Neither a Leaver nor a Remainer"
64,"Man","East Midlands","Leave","No formal qualifications","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Somewhat positive effect","Fairly well",5,"a Leaver"
65,"Woman","Scotland","Remain","Scottish Ordinary/ Lower Certificate","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
42,"Man","North West","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Fairly well",2,"a Leaver"
74,"Man","Scotland","Remain","Teaching qualification (not degree)","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Fairly badly",5,"a Remainer"
57,"Man","Scotland","Remain","Scottish Higher Certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
70,"Man","South East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Neither positive nor negative","Fairly well",7,"a Leaver"
64,"Man","South West","Remain","City & Guilds certificate - advanced","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Very negative effect","Don't know",1,"a Remainer"
68,"Man","Yorkshire and the Humber","Cannot remember","University diploma","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Neither positive nor negative","Neither positive nor negative","Don't know",8,"Neither a Leaver nor a Remainer"
52,"Man","North East","Cannot remember","City & Guilds certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Don't know","Don't know",8,"Neither a Leaver nor a Remainer"
59,"Woman","Scotland","Remain","Scottish Ordinary/ Lower Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",6,"a Remainer"
40,"Man","North West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Fairly well",2,"Neither a Leaver nor a Remainer"
70,"Woman","Scotland","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
44,"Woman","North West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly badly",7,"a Leaver"
50,"Woman","North West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Neither positive nor negative","Neither positive nor negative","Fairly well",5,"a Leaver"
52,"Man","East of England","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
58,"Woman","Wales","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Other","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Neither positive nor negative","Neither positive nor negative","Fairly badly",10,"a Leaver"
67,"Woman","East Midlands","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Neither positive nor negative","Fairly well",8,"a Leaver"
35,"Man","North West","Did not vote","No formal qualifications","Not working","Have never worked","Don't know","Don't know","Don't know",10,"Don’t know"
55,"Woman","South East","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Neither positive nor negative","Very badly",0,"a Remainer"
57,"Man","East Midlands","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
56,"Woman","South East","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Neither positive nor negative","Very well",10,"a Leaver"
33,"Woman","South West","Remain","GCE A level or Higher Certificate","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
67,"Man","Scotland","Remain","University diploma","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Fairly well",4,"a Remainer"
52,"Woman","Yorkshire and the Humber","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Neither positive nor negative","Fairly badly",0,"a Remainer"
57,"Woman","Scotland","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
35,"Woman","South West","Leave","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Working part time (8-29 hours a week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Somewhat positive effect","Fairly badly",2,"a Leaver"
59,"Woman","Yorkshire and the Humber","Leave","GCE A level or Higher Certificate","Retired","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very positive effect","Somewhat positive effect","Fairly well",3,"a Leaver"
37,"Woman","East Midlands","Leave","Don't know","Working part time (8-29 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Fairly well",6,"a Leaver"
23,"Man","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Fairly well",6,"Neither a Leaver nor a Remainer"
28,"Woman","East Midlands","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Don't know","Fairly badly",1,"a Remainer"
66,"Woman","East Midlands","Leave","No formal qualifications","Working full time (30 or more hours per week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
26,"Man","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Neither positive nor negative","Very badly",0,"a Remainer"
46,"Woman","North East","Leave","University diploma","Working part time (Less than 8 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Don't know","Don't know",9,"a Leaver"
28,"Man","Yorkshire and the Humber","Leave","No formal qualifications","Unemployed","Have never worked","Neither positive nor negative","Neither positive nor negative","Very badly",5,"a Leaver"
67,"Man","West Midlands","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
59,"Woman","North West","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Not working","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
48,"Man","London","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Fairly badly",4,"a Remainer"
45,"Man","East Midlands","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
36,"Man","Wales","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
44,"Man","London","Leave","University diploma","Not working","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Don't know",8,"a Leaver"
34,"Woman","East Midlands","Did not vote","University diploma","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Neither positive nor negative","Neither positive nor negative","Fairly badly",6,"a Remainer"
49,"Woman","West Midlands","Leave","No formal qualifications","Not working","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Neither positive nor negative","Neither positive nor negative","Very badly",10,"Neither a Leaver nor a Remainer"
41,"Woman","West Midlands","Remain","GCE A level or Higher Certificate","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Neither positive nor negative","Fairly badly",5,"Neither a Leaver nor a Remainer"
65,"Woman","Scotland","Remain","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Fairly badly",5,"a Remainer"
56,"Man","East Midlands","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Very positive effect","Fairly well",5,"a Leaver"
33,"Man","London","Did not vote","Scottish Ordinary/ Lower Certificate","Full time student","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Very negative effect","Fairly badly",6,"a Remainer"
63,"Woman","East Midlands","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Neither positive nor negative","Fairly well",7,"a Leaver"
48,"Man","South East","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Fairly badly",0,"a Remainer"
39,"Man","West Midlands","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Fairly badly",2,"Neither a Leaver nor a Remainer"
40,"Woman","London","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
