age,sex,region,GEvote2015,EURef2016,political_attention,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,newspaper_readership,Govthand,Tradeimmig,BrexitID
29,"Woman","South East","DK or did not vote","Did not vote",5,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","D","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Somewhat positive effect","Neither positive nor negative","None","Don't know",5,"Neither a Leaver nor a Remainer"
56,"Man","East of England","Conservative","Leave",7,"£35,000 to £39,999 per year","£35,000 to £39,999 per year","17-18","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Neither positive nor negative","None","Fairly well",7,"a Leaver"
76,"Woman","London","Conservative","Did not vote",7,"Prefer not to answer","Don't know","17-18","No formal qualifications","AB","Retired","Self-employed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","The Daily Mail / The Scottish Daily Mail","Don't know",10,"a Remainer"
75,"Woman","South East","Conservative","Remain",6,"£10,000 to £14,999 per year","£20,000 to £24,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Somewhat positive effect","Neither positive nor negative","The Daily Telegraph","Fairly well",3,"Neither a Leaver nor a Remainer"
48,"Woman","London","Labour","Leave",7,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Self-employed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","The Times","Very badly",8,"a Remainer"
72,"Woman","West Midlands","Labour","Leave",4,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","15 or under","CSE grade 1, GCE O level, GCSE, School Certificate","D","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Very positive effect","Somewhat positive effect","Other Newspaper","Fairly well",5,"a Leaver"
51,"Man","Scotland","SNP","Remain",9,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","17-18","Scottish Higher Certificate","C1","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Other Newspaper","Very badly",0,"a Remainer"
65,"Woman","South East","UKIP","Leave",2,"£5,000 to £9,999 per year","£10,000 to £14,999 per year","15 or under","No formal qualifications","D","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Somewhat positive effect","Neither positive nor negative","The Mirror / Daily Record","Fairly well",6,"a Leaver"
72,"Man","Scotland","Conservative","Remain",7,"£25,000 to £29,999 per year","£30,000 to £34,999 per year","20+","Other technical, professional or higher qualification","AB","Retired","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Very positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",6,"a Leaver"
35,"Woman","East Midlands","Conservative","Leave",2,"£5,000 to £9,999 per year","£30,000 to £34,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","D","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Somewhat positive effect","Don't know","None","Don't know",5,"Neither a Leaver nor a Remainer"
45,"Woman","Yorkshire and the Humber","Labour","Remain",5,"Prefer not to answer","Prefer not to answer","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Don't know","The Guardian","Fairly badly",5,"Don’t know"
78,"Woman","London","Labour","Leave",5,"£5,000 to £9,999 per year","£25,000 to £29,999 per year","15 or under","No formal qualifications","C1","Retired","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Neither positive nor negative","Neither positive nor negative","The Daily Telegraph","Fairly well",5,"a Leaver"
41,"Woman","South East","DK or did not vote","Did not vote",0,"under £5,000 per year","£5,000 to £9,999 per year","15 or under","No formal qualifications","E","Not working","Have never worked","Have never worked","Don’t know","Neither positive nor negative","Neither positive nor negative","The Mirror / Daily Record","Don't know",5,"Neither a Leaver nor a Remainer"
64,"Man","South West","UKIP","Leave",9,"Don't know","Don't know","17-18","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Neither positive nor negative","None","Fairly badly",3,"a Leaver"
57,"Woman","East Midlands","Liberal Democrat","Leave",7,"£10,000 to £14,999 per year","£30,000 to £34,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C2","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Other","Right","Neither positive nor negative","Don't know","None","Don't know",2,"a Leaver"
69,"Woman","North West","Conservative","Remain",3,"Prefer not to answer","Prefer not to answer","16","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","C1","Retired","Other public sector employer (e.g. Central Government)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Somewhat negative effect","Don't know","The Daily Mail / The Scottish Daily Mail","Don't know",8,"a Remainer"
63,"Man","Yorkshire and the Humber","Conservative","Remain",7,"Prefer not to answer","Prefer not to answer","16","Teaching qualification (not degree)","C1","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","None","Fairly well",1,"a Remainer"
42,"Woman","North West","Conservative","Remain",3,"Prefer not to answer","Prefer not to answer","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Neither positive nor negative","Neither positive nor negative","The Daily Mail / The Scottish Daily Mail","Fairly well",7,"a Remainer"
30,"Man","South East","Conservative","Leave",6,"£35,000 to £39,999 per year","£35,000 to £39,999 per year","17-18","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat positive effect","Neither positive nor negative","None","Don't know",2,"Neither a Leaver nor a Remainer"
27,"Woman","London","Labour","Remain",7,"Don't know","Don't know","20+","GCE A level or Higher Certificate","D","Not working","Other","Have never worked","Don’t know","Somewhat negative effect","Don't know","None","Fairly badly",2,"Neither a Leaver nor a Remainer"
45,"Woman","West Midlands","Conservative","Remain",8,"£20,000 to £24,999 per year","£100,000 to £149,999 per year","16","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Don't know","The Financial Times","Don't know",10,"a Remainer"
42,"Man","North West","DK or did not vote","Did not vote",3,"£35,000 to £39,999 per year","£35,000 to £39,999 per year","16","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Don't know","Don't know","None","Don't know",7,"Neither a Leaver nor a Remainer"
41,"Man","West Midlands","Conservative","Remain",3,"Prefer not to answer","Prefer not to answer","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","None","Very badly",0,"a Remainer"
39,"Man","Wales","Plaid","Remain",7,"£5,000 to £9,999 per year","£5,000 to £9,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","E","Not working","Have never worked","Have never worked","Right","Somewhat positive effect","Neither positive nor negative","Other Newspaper","Fairly well",8,"Neither a Leaver nor a Remainer"
59,"Woman","North West","Conservative","Leave",6,"£10,000 to £14,999 per year","£20,000 to £24,999 per year","20+","GCE A level or Higher Certificate","AB","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Other","Right","Somewhat positive effect","Neither positive nor negative","The Sun","Fairly badly",7,"a Leaver"
34,"Woman","North West","Labour","Remain",5,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","20+","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","C2","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Neither positive nor negative","Neither positive nor negative","None","Fairly badly",8,"a Remainer"
74,"Man","North West","Conservative","Remain",7,"£15,000 to £19,999 per year","£20,000 to £24,999 per year","19","University diploma","AB","Retired","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Somewhat negative effect","The Times","Very badly",2,"a Remainer"
54,"Man","North East","Labour","Remain",8,"£30,000 to £34,999 per year","£50,000 to £59,999 per year","16","Other technical, professional or higher qualification","AB","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Somewhat negative effect","Other Newspaper","Fairly badly",4,"a Remainer"
37,"Man","South East","Conservative","Remain",7,"£15,000 to £19,999 per year","£20,000 to £24,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","D","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Somewhat positive effect","Don't know","The Times","Fairly well",3,"a Leaver"
54,"Man","South West","Liberal Democrat","Remain",8,"Prefer not to answer","Prefer not to answer","20+","GCE A level or Higher Certificate","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Very negative effect","Somewhat negative effect","The Guardian","Fairly badly",4,"Neither a Leaver nor a Remainer"
38,"Man","East Midlands","UKIP","Leave",4,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","20+","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Fairly badly",9,"a Leaver"
59,"Woman","Yorkshire and the Humber","Labour","Remain",7,"£45,000 to £49,999 per year","£60,000 to £69,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","None","Very badly",1,"a Remainer"
72,"Woman","North West","Conservative","Leave",9,"Prefer not to answer","Prefer not to answer","20+","Teaching qualification (not degree)","E","Retired","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","The Daily Mail / The Scottish Daily Mail","Very well",9,"a Leaver"
77,"Man","Wales","Conservative","Leave",7,"Prefer not to answer","Prefer not to answer","16","ONC","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Right","Somewhat positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",8,"a Leaver"
70,"Man","North West","UKIP","Leave",5,"£15,000 to £19,999 per year","£30,000 to £34,999 per year","16","Recognised trade apprenticeship completed","C2","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Neither positive nor negative","The Daily Mail / The Scottish Daily Mail","Very badly",10,"a Leaver"
56,"Man","Yorkshire and the Humber","Labour","Remain",7,"Prefer not to answer","Prefer not to answer","16","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Very negative effect","Somewhat negative effect","The Mirror / Daily Record","Very badly",5,"a Remainer"
77,"Man","North East","Labour","Leave",10,"£30,000 to £34,999 per year","£60,000 to £69,999 per year","15 or under","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",10,"a Leaver"
32,"Man","North West","DK or did not vote","Cannot remember",3,"£20,000 to £24,999 per year","Prefer not to answer","17-18","City & Guilds certificate","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don’t know","Somewhat positive effect","Neither positive nor negative","Other local daily morning newspaper","Fairly badly",4,"Don’t know"
68,"Man","South West","Conservative","Remain",7,"£15,000 to £19,999 per year","£40,000 to £44,999 per year","17-18","Other technical, professional or higher qualification","AB","Retired","Self-employed","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Somewhat negative effect","Other Newspaper","Fairly well",2,"a Remainer"
45,"Woman","North West","Liberal Democrat","Remain",7,"Prefer not to answer","Prefer not to answer","17-18","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Somewhat positive effect","Neither positive nor negative","None","Very well",5,"Neither a Leaver nor a Remainer"
45,"Man","East Midlands","Liberal Democrat","Remain",4,"£40,000 to £44,999 per year","£40,000 to £44,999 per year","16","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Don't know","Neither positive nor negative","The Sun","Don't know",3,"a Remainer"
70,"Man","South East","UKIP","Leave",5,"Don't know","£25,000 to £29,999 per year","15 or under","No formal qualifications","C1","Retired","Other public sector employer (e.g. Central Government)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Right","Very positive effect","Neither positive nor negative","None","Very badly",10,"a Leaver"
27,"Woman","South West","Liberal Democrat","Remain",7,"Prefer not to answer","Prefer not to answer","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","The Times","Very badly",0,"a Remainer"
51,"Man","East of England","Labour","Remain",7,"£15,000 to £19,999 per year","£70,000 to £99,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Wrong","Very negative effect","Somewhat negative effect","None","Very badly",0,"a Remainer"
64,"Man","South West","Liberal Democrat","Remain",7,"£5,000 to £9,999 per year","Prefer not to answer","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Retired","Charity/voluntary sector","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","None","Very badly",3,"a Remainer"
69,"Man","East of England","Conservative","Leave",10,"£30,000 to £34,999 per year","£20,000 to £24,999 per year","16","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Self-employed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Somewhat positive effect","None","Fairly well",10,"a Leaver"
65,"Man","South East","Conservative","Leave",6,"£15,000 to £19,999 per year","£35,000 to £39,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","D","Retired","Self-employed","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Somewhat negative effect","Neither positive nor negative","None","Don't know",7,"a Leaver"
41,"Man","East of England","Conservative","Leave",2,"£45,000 to £49,999 per year","£5,000 to £9,999 per year","17-18","Other technical, professional or higher qualification","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don’t know","Somewhat positive effect","Somewhat positive effect","The Guardian","Fairly well",7,"Neither a Leaver nor a Remainer"
61,"Woman","South West","Conservative","Leave",7,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Retired","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","None","Don't know",2,"Neither a Leaver nor a Remainer"
73,"Man","Wales","Conservative","Remain",7,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","15 or under","City & Guilds certificate - advanced","E","Retired","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Somewhat negative effect","None","Very badly",5,"Neither a Leaver nor a Remainer"
39,"Woman","South West","DK or did not vote","Remain",7,"under £5,000 per year","£30,000 to £34,999 per year","17-18","University diploma","C2","Not working","Charity/voluntary sector","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","The Independent","Fairly badly",0,"Neither a Leaver nor a Remainer"
74,"Man","West Midlands","UKIP","Did not vote",6,"under £5,000 per year","£25,000 to £29,999 per year","17-18","GCE A level or Higher Certificate","AB","Retired","Self-employed","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Neither positive nor negative","The Daily Telegraph","Fairly well",2,"Neither a Leaver nor a Remainer"
42,"Woman","East of England","UKIP","Leave",7,"under £5,000 per year","£15,000 to £19,999 per year","17-18","Other technical, professional or higher qualification","C2","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Other","Right","Very positive effect","Very positive effect","None","Don't know",10,"a Leaver"
74,"Woman","London","Conservative","Leave",6,"£20,000 to £24,999 per year","£25,000 to £29,999 per year","17-18","Clerical and commercial","E","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","The Express","Fairly well",8,"a Leaver"
81,"Man","South East","DK or did not vote","Did not vote",6,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","15 or under","No formal qualifications","C1","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Somewhat positive effect","None","Fairly well",10,"a Leaver"
50,"Man","South West","Green","Remain",9,"£100,000 and over","£100,000 to £149,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","None","Very badly",0,"a Remainer"
49,"Woman","Yorkshire and the Humber","Conservative","Remain",7,"£35,000 to £39,999 per year","£35,000 to £39,999 per year","17-18","Other technical, professional or higher qualification","AB","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Neither positive nor negative","The Times","Don't know",0,"a Remainer"
55,"Woman","South East","Liberal Democrat","Remain",6,"Prefer not to answer","£50,000 to £59,999 per year","16","Other technical, professional or higher qualification","AB","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","The Times","Don't know",7,"a Remainer"
67,"Woman","South West","UKIP","Leave",7,"Prefer not to answer","Prefer not to answer","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Retired","Self-employed","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat positive effect","Neither positive nor negative","The Daily Mail / The Scottish Daily Mail","Fairly well",8,"a Leaver"
60,"Man","Scotland","Labour","Leave",10,"Prefer not to answer","Prefer not to answer","16","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Very positive effect","Neither positive nor negative","The Daily Telegraph","Don't know",5,"a Leaver"
31,"Woman","Wales","Labour","Remain",7,"£15,000 to £19,999 per year","£50,000 to £59,999 per year","17-18","GCE A level or Higher Certificate","C1","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","None","Very badly",0,"a Remainer"
31,"Man","North West","Conservative","Leave",7,"£40,000 to £44,999 per year","£50,000 to £59,999 per year","16","Recognised trade apprenticeship completed","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Somewhat positive effect","Somewhat positive effect","None","Fairly badly",2,"a Leaver"
68,"Man","Yorkshire and the Humber","DK or did not vote","Leave",7,"£15,000 to £19,999 per year","£15,000 to £19,999 per year","16","No formal qualifications","C2","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Neither positive nor negative","Other Newspaper","Fairly badly",10,"a Leaver"
53,"Woman","Wales","Labour","Leave",7,"under £5,000 per year","under £5,000 per year","17-18","Other technical, professional or higher qualification","AB","Working part time (Less than 8 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Very positive effect","The Mirror / Daily Record","Don't know",6,"a Leaver"
67,"Man","Wales","Green","Remain",7,"£10,000 to £14,999 per year","£20,000 to £24,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Don't know","Other Newspaper","Very badly",5,"a Remainer"
60,"Man","Wales","Conservative","Leave",6,"£15,000 to £19,999 per year","£25,000 to £29,999 per year","16","CSE grades 2-5","C2","Working part time (Less than 8 hours a week)","Self-employed","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Somewhat positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",6,"a Leaver"
45,"Woman","East Midlands","Conservative","Leave",0,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Neither positive nor negative","None","Fairly badly",7,"Neither a Leaver nor a Remainer"
66,"Woman","North West","Other","Leave",10,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","E","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don’t know","Neither positive nor negative","Neither positive nor negative","The Guardian","Fairly badly",5,"a Leaver"
67,"Woman","South West","Conservative","Leave",10,"Prefer not to answer","Prefer not to answer","17-18","GCE A level or Higher Certificate","AB","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","Other Newspaper","Fairly well",5,"a Leaver"
70,"Man","North West","DK or did not vote","Remain",5,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","20+","University diploma","AB","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Neither positive nor negative","None","Don't know",2,"Neither a Leaver nor a Remainer"
66,"Man","South West","Conservative","Leave",8,"£15,000 to £19,999 per year","£25,000 to £29,999 per year","16","No formal qualifications","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Very positive effect","None","Very well",3,"a Leaver"
65,"Woman","East of England","UKIP","Leave",8,"£35,000 to £39,999 per year","£40,000 to £44,999 per year","16","CSE grades 2-5","C2","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Somewhat positive effect","None","Don't know",2,"a Leaver"
64,"Woman","South East","Liberal Democrat","Remain",6,"£5,000 to £9,999 per year","£40,000 to £44,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Not working","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Neither positive nor negative","None","Don't know",3,"Neither a Leaver nor a Remainer"
69,"Woman","North West","Labour","Remain",8,"£15,000 to £19,999 per year","£25,000 to £29,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Retired","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Somewhat negative effect","The Guardian","Very badly",1,"a Remainer"
67,"Man","South East","Conservative","Leave",6,"Prefer not to answer","Prefer not to answer","15 or under","City & Guilds certificate","E","Retired","Self-employed","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",8,"a Leaver"
